patent,abstract,title
08342021,,"Composite sensor and electronic device",
08342022,,"Micromechanical rotational speed sensor",
08342023,,"Coriolis gyro",
08342024,,"Gyroscopic measurement by a vibratory gyroscope",
08342025,,"Microelectromechanical structure with enhanced rejection of acceleration noise",
08342026,,"Vibrating gyroscope",
08342027,,"Determining physical properties of objects or fluids in multi-path clutter environments",
08342028,,"Photoacoustic measurement apparatus",
08342029,,"Apparatus for guarding pressure sensor for washing machine",
08342030,,"Apparatus for deforming fibres",
08342031,,"Capacitive strain sensor",
08342032,,"Tribology device for assessing mouthfeel attributes of foods",
08342033,,"Method for avoiding overloading of a shaft",
08342034,,"System and method to test specimens",
08342035,,"Coriolis mass flowmeter with mounting assembly having center of gravity lying in the reference oscillation plane",
08342036,,"Differential pressure anemometer",
08342037,,"Device for measuring a pattern of forces and moments generated by an aircraft propulsion system",
08342038,,"Vehicle seat and passenger's weight measurement device for vehicle seat",
08342039,,"Process for measuring preloading of low-rolling resistance bearings",
08342040,,"Method and apparatus for obtaining fluid samples",
08342041,,"Tube for separating portions of a sample",
08342042,,"Device for collecting chemical compounds and related methods",
08342043,,"System for collecting a fluid sample",
08342044,,"Flow cytometric apparatus and method",
08342045,,"Activity monitor",
08342046,,"Environmental test apparatus",
08342047,,"Ratchet style anti-back device for conveyor dollies",
08342048,,"Dual clutch transmission",
08342049,,"Dual clutch transmission",
08342050,,"Dual clutch transmission",
08342051,,"DCT transmission utilizing a two axis chain",
08342052,,"Neutral lock mechanism for vehicle shifter",
08342053,,"Operating device for manual transmission apparatus",
08342054,,"Multiaxis counterbalance and positioning system using a spatial linkage",
08342055,,"Toggle-type positioning platform",
08342056,,"Telescopic shaft and vehicle steering apparatus",
08342057,,"Steering column for vehicle",
08342058,,"Recessed belt damper",
08342059,,"Dustproof seal for ratchet wrench",
08342060,,"Multi-function socket wrench",
08342061,,"Wrench adapter",
08342062,,"Multi-angle hand tool",
08342063,,"Open-ended ratchet wrench",
08342064,,"Ratchetable open-ended wrench",
08342065,,"Torclip screwdriver",
08342066,,"Cutting tool for machining inner surface of hole, and method for cutting the same",
08342067,,"Punching apparatus",
08342068,,"Device for longitudinal cutting of a continuous web material, such as corrugated cardboard",
08342069,,"Device and method for controlled breaching of reinforced concrete",
08342070,,"Methods and apparatus for a control surface restraint and release system",
08342071,,"Firearm flash suppressor",
08342072,,"Linkage for rimmed ammunition",
08342073,,"Composite armor, armor system and vehicle including armor system",
08342074,,"Vision system",
08342075,,"Receiver for an autoloading firearm",
08342076,,"Brake actuator and method of forming the same",
08342077,,"Binary cylinder engine",
08342078,,"Reciprocating-piston pump for feeding a liquid",
08342079,,"Multifunctional soybean milk maker",
08342080,,"Programmable cooking system and method",
08342081,,"Barrier submersion cooking pouch and basket",
08342082,,"Detachable grill",
08342083,,"Method to control operation and safety of a hydraulic press",
08342084,,"Bottle compactor",
08342085,,"Apparatus and method for compensating for stress deformations in a press",
08342086,,"Drive device for a bending press",
08342087,,"Production spring striper",
08342088,,"Pad printing on textile substrates",
08342089,,"Printing screens, frames therefor and printing screen units",
08342090,,"Ink roller for a hand-held labelling device",
08342091,,"Expendable ink cartridge for hand held printing mechanism",
08342092,,"Porous roll with axial zones and method of proving printing liquid to a cylinder in a printing press",
08342093,,"Fuze for a projectile",
08342094,,"Dissolvable material application in perforating",
08342095,,"Self-stemming cartridge",
08342096,,"Avalanche triggering system",
08342097,,"Caseless projectile and launching system",
08342098,,"Non-lethal wireless stun projectile system for immobilizing a target by neuromuscular disruption",
08342099,,"Marking paint ball and method for making same",
08342100,,"Gas generator",
08342101,,"Integrated multimodal transportation system and associated infrastructure",
08342102,,"Dual path kiln improvement",
08342103,,"Battery-powered all-electric locomotive and related locomotive and train configurations",
08342104,,"Rail car and method for transport of bulk materials",
08342105,,"Open top hopper railcar with lading shedding top chord and corner cap and integrated door operating controls with manual override",
08342106,,"Modular pallet",
08342107,,"High-strength, lightweight blow-molded plastic structures",
08342108,,"Depth adjustment assembly for a disc opener of an agricultural implement",
08342109,,"Spreader equipped delivery boot for use with a sweep blade on an agricultural implement",
08342110,,"Rotary hook for a locksmith sewing machine, comprising means to reduce the noise thereof",
08342111,,"Sewing machine and computer-readable medium storing control program executable in sewing machine",
08342112,,"Sewing machine and computer-readable medium storing sewing machine control program",
08342113,,"Systems and methods for thread handling and/or cutting",
08342114,,"Ship hull comprising at least one float",
08342115,,"Device for a sailing boat",
08342116,,"Mooring pendant apparatus",
08342117,,"Coating apparatus",
08342118,,"Sheet coating system on an apparatus for extrusion forming a sheet product",
08342119,,"Self aligning non contact shadow ring process kit",
08342120,,"Apparatuses and methods for applying one or more materials on one or more substrates",
08342121,,"Plasma processing apparatus",
08342122,,"Methods and apparatus for changing area ratio in a plasma processing system",
08342123,,"Milk collecting device and method for operating a milk collecting device",
08342124,,"Apparatus and method for cleaning a milking system",
08342125,,"Safety valve for an automatic dairy animal milker unit backflusher and teat dip applicator",
08342126,,"Enhanced pet bed system",
08342127,,"Squirrel resistant hopper type bird feeder",
08342128,,"Viscous pet food dispensing apparatus",
08342129,,"Adaptive small animal feeder",
08342130,,"Apparatus for the cultivation of shellfish",
08342131,,"Urban adventure playground",
08342132,,"Pet toy with noise making feature",
08342133,,"Pet toy with noise making feature",
08342134,,"Vibration dampening bark control device",
08342135,,"Method and apparatus for varying animal correction signals",
08342136,,"Method and apparatus for animal positioning in imaging systems",
08342137,,"Animal leash",
08342138,,"Dog's waste catcher",
08342139,,"Immerse resistant rust inhibiting water heater support with or without leveling capabilities",
08342140,,"Method for improving transient engine operation",
08342141,,"Engine cooling system",
08342142,,"Cooling apparatus and cooling method for internal combustion engine",
08342143,,"Spark ignition type internal combustion engine",
08342144,,"Motor control strategy for a hydraulic camshaft adjuster having a mechanical central lock",
08342145,,"Lifter retainer",
08342146,,"Camshaft and production process therefor",
08342147,,"Optimized generation of a radiofrequency ignition spark",
08342148,,"Throttle valve for internal combustion engine",
08342149,,"Air intake device for engine",
08342150,,"Compressor control for determining maximum pressure, minimum pressure, engine speed, and compressor loading",
08342151,,"Deactivation of high pressure pump for noise control",
08342152,,"Flow controlling method for an auxiliary intake flow passage",
08342153,,"Digital fuel injector, injection and hydraulic valve actuation module and engine and high pressure pump methods and apparatus",
08342154,,"Device for supplying fuel for an engine and method for mounting a fuel feed line",
08342155,,Injector,
08342156,,"Bearing arrangement for a pump",
08342157,,"Checking functionality of fuel tank vapor pressure sensor",
08342158,,"Engine with gaseous and/or liquid fuel injector",
08342159,,"Fuel line ionizer",
08342160,,"Engine air management system",
08342161,,"Arrow rest",
08342162,,"Soccer ball delivery system and method",
08342163,,"Aggregate cutting saw chain",
08342164,,"Gemstone production from CVD diamond plate",
08342165,,"Appliance with a Venturi based venting system",
08342166,,"Decorative fireplace screen and method of manufacture",
08342167,,"Floating solar heater with stabilizing band",
08342168,,"System for heating liquid by solar radiation",
08342169,,"Reciprocating solar engine with solar reflectors",
08342170,,"Liquid ejection method and liquid ejection apparatus",
08342171,,"Breath-controlled inhalation therapy device",
08342172,,"Instrumented metered-dose inhaler and methods for predicting disease exacerbations",
08342173,,"Nasal dilator with cushion layer and variable spring rate",
08342174,,"Inhaler for powdery substances, in particular medicinal substances",
08342175,,"Inhaler for powdery substances, in particular medicinal substances",
08342176,,"Sealed capsule including an integrated puncturing mechanism",
08342177,,"Spill resistant humidifier for use in a breathing assistance system",
08342178,,"Device for taking and analyzing breathing gas samples",
08342179,,"Disposable mask assembly with exhaust filter and valve disc and method of assembling same",
08342180,,"Filtering face-piece respirator that has expandable mask body",
08342181,,"Elbow assembly",
08342182,,"Functional assessment and treatment catheters and methods for their use in the lung",
08342183,,"Devices and methods for treatment of obesity",
08342184,,"Non-combustion flavor inhalation article",
08342185,,"Twin chamber humidifying tube",
08342186,,"Hair extension device",
08342187,,"Vibrating device",
08342188,,Comb,
08342189,,"Hair roller set",
08342190,,"Stencils and gauging device for aesthetically pleasing eyebrow shaping",
08342191,,"Hair styling tool with rotatable cylinder",
08342192,,"Compact for liquid cosmetics",
08342193,,"Flexible dental floss applicator and interdental gum stimulator",
08342194,,"Conveyor ware washer",
08342195,,"Apparatus and method for washing a vehicle",
08342196,,"Biomechanically derived crutch",
08342197,,"Blinds and shelters with flexible and dynamic configurations",
08342198,,"Additive to improve flow, reduce power consumption and pressure drop in heavy oil pipelines",
08342199,,"Dispensing equipment utilizing coriolis flow meters",
08342200,,"Meter yoke vise",
08342201,,"Pressure reducing valve",
08342202,,"Pipe coupling member for high-pressure fluid",
08342203,,"Pressure relief valve",
08342204,,"Rotary valve for use in an internal combustion engine",
08342205,,"Slide type valve",
08342206,,"Dual butterfly control valve and method of use",
08342207,,"Making a liquid/liquid or gas system in microfluidics",
08342208,,"Multi-protection valve",
08342209,,"Plug for fluid-transfer coupling device",
08342210,,"Security cap with latch",
08342211,,"Protective pipe cover and support apparatus",
08342212,,"Fluid conduit with layered and partial covering material thereon",
08342213,,"Method for manufacturing a turf reinforcement mat",
08342214,,"Reservoir assembly including nested reservoirs",
08342215,,"Tire sealant liquid container",
08342216,,"Variable footprint for a pneumatic tire",
08342217,,"Lubricant for run flat tire system",
08342218,,"Apparatus for manufacturing a tubular product",
08342219,,"Tape placement apparatus and tape printer provided therewith",
08342220,,"Process and apparatus for manufacturing a reinforcing structure for tyres of vehicles",
08342221,,"Apparatus of jointing cord fabric",
08342222,,"Method for mounting a tyre on a rim to form a motor vehicle wheel and for demounting a tyre from a rim and apparatus therefore",
08342223,,"Method of and apparatus for fitting or removing a motor vehicle tyre",
08342224,,"Louver shade assembly",
08342225,,"Connector for a blind assembly",
08342226,,"Collapsible sunshade",
08342227,,Sunshade,
08342228,,"Systems and methods for insert-molding",
08342229,,"Method of making a CIG target by die casting",
